u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
202,2,1.0,5.0,1.0,1,1.0,2.0,4.0,2.0,5.0,-0.08879614021931417,-0.17769020761247245,0.8831852289111356,0.10230203224474622,3.0,4.0,5.0,4.0,0
203,2,2.0,4.0,2.0,1,2.0,1.0,5.0,5.0,7.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,3.0,1.0,5.0,5.0,0
204,1,1.0,3.0,3.0,1,3.0,3.0,2.0,1.0,4.0,-0.08879614021931417,1.1274137310584462,2.236555399832516,1.3840863186053893,2.0,4.0,3.0,3.0,0
205,1,3.0,5.0,7.0,1,3.0,3.0,2.0,3.0,4.0,0.10370846911110733,1.1274137310584462,2.236555399832516,1.3840863186053893,2.0,4.0,4.0,5.0,0
206,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
207,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
208,3,3.0,4.0,8.0,2,3.0,3.0,5.0,5.0,6.0,-0.4016161303812491,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,3.0,1.0,3.0,0
209,3,1.0,4.0,4.0,2,2.0,2.0,5.0,5.0,5.0,-0.28130074954973566,1.1274137310584462,-0.4701849420102447,0.10230203224474622,3.0,3.0,4.0,4.0,0
21,5,2.0,5.0,6.0,2,2.0,2.0,5.0,5.0,6.0,-0.28130074954973566,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,3.0,5.0,5.0,4.0,0
210,5,1.0,2.0,1.0,1,2.0,3.0,4.0,4.0,2.0,-0.3775530542149464,1.1274137310584462,-0.4701849420102447,1.3840863186053893,5.0,5.0,3.0,5.0,1
211,5,1.0,4.0,6.0,2,2.0,3.0,2.0,3.0,1.0,1.2587361250936362,-2.7878980849543096,-0.4701849420102447,-1.179482254115897,5.0,3.0,3.0,4.0,0
212,5,1.0,4.0,7.0,1,2.0,2.0,1.0,2.0,5.0,-0.1850484448845249,-0.17769020761247245,0.8831852289111356,0.10230203224474622,1.0,4.0,1.0,5.0,0
213,5,1.0,3.0,3.0,2,3.0,3.0,1.0,3.0,3.0,0.007456164445896576,-2.7878980849543096,-0.4701849420102447,1.3840863186053893,2.0,1.0,2.0,5.0,0
22,1,1.0,3.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
23,1,1.0,4.0,1.0,3,1.0,3.0,5.0,5.0,4.0,-0.1850484448845249,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,1.0,4.0,4.0,4.0,0
24,4,2.0,4.0,1.0,1,2.0,3.0,2.0,2.0,3.0,-0.040669987886708794,1.1274137310584462,-0.4701849420102447,1.3840863186053893,5.0,4.0,2.0,2.0,0
