u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
25,5.0,1.0,4.0,8.0,2.0,,4.0,1.0,,2.0,15.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,1.0
26,5.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,15.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0
27,3.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.5,,,,4.0,,,,
28,3.0,3.0,5.0,12.0,3.0,,,2.0,,,,,,,,,,,
29,3.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,24.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0
3,6.0,1.0,3.0,4.0,2.0,2.0,1.0,7.0,6.0,6.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0
30,3.0,3.0,4.0,12.0,2.0,,,2.0,,,,,,,,,,,
31,5.0,1.0,4.0,4.0,2.0,,,5.0,,,,,,,,,,,
32,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,20.0,4.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0
33,3.0,3.0,5.0,12.0,4.0,4.0,2.0,2.0,4.0,6.0,8.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0
34,3.0,1.0,3.0,12.0,2.0,2.0,2.0,2.0,2.0,4.0,12.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0
35,4.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,8.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0
36,4.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0
37,4.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
38,3.0,1.0,4.0,1.0,2.0,3.0,,1.0,5.0,,10.0,,,,1.0,,,,
39,3.0,3.0,2.0,11.0,3.0,3.0,3.0,4.0,2.0,2.0,8.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0
4,4.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0
40,3.0,1.0,4.0,10.0,2.0,2.0,2.0,4.0,5.0,5.0,8.0,4.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0
41,3.0,3.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,,16.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0
42,6.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,10.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0
43,3.0,1.0,3.0,6.0,3.0,3.0,2.0,4.0,5.0,3.0,10.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,2.0
44,3.0,1.0,5.0,6.0,3.0,3.0,,1.0,1.0,,7.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0
45,3.0,1.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,10.0,3.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0
46,3.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0
47,3.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,12.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0
48,3.0,,2.0,1.0,3.0,3.0,,1.0,,,10.0,4.0,4.0,1.0,5.0,2.0,3.0,4.0,1.0
49,3.0,3.0,3.0,1.0,3.0,,,1.0,,,,,,,,,,,
5,4.0,1.0,3.0,6.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,1.0
50,,,,,,,,,,,,,,,,,,,
51,3.0,1.0,4.0,8.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0
52,3.0,2.0,4.0,7.0,4.0,2.0,2.0,3.0,4.0,5.0,7.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0
53,4.0,3.0,4.0,12.0,2.0,2.0,,6.0,5.0,,10.0,,,,4.0,,,,
54,3.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0
55,2.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0
56,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,7.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,2.0
57,2.0,1.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0
58,4.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0
59,3.0,3.0,4.0,12.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0
6,4.0,2.0,5.0,9.0,3.0,3.0,3.0,6.0,6.0,6.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0
60,3.0,1.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0
61,3.0,3.0,5.0,12.0,3.0,2.0,3.0,3.0,4.0,5.0,20.0,4.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0
62,3.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,8.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,2.0
63,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0
